,LB,RB
454022,9452,8700
455042,9464,8704
456061,9472,8704
457080,9460,8704
458112,9592,8988
459132,9464,8728
460152,9468,8732
461185,9596,8992
462203,9452,8724
463222,9452,8724
464241,9456,8720
465257,9444,8720
466274,9444,8716
467291,9444,8716
468309,9448,8712
469328,9448,8712
470346,9452,8652
471364,9456,8664
472382,9456,8688
473414,9584,8972
474434,9464,8736
475455,9476,8732
476476,9480,8740
477497,9480,8752
478520,9488,8760
479545,9520,8784
480568,9508,8796
481594,9536,8808
482623,9544,8824
483650,9544,8828
484680,9560,8828
485708,9564,8844
486740,9572,8844
487768,9564,8844
488798,9568,8840
489829,9576,8836
490858,9568,8856
491887,9568,8856
492909,9492,8848
493938,9564,8840
494966,9556,8844
495994,9552,8828
497024,9556,8832
498051,9544,8812
499077,9536,8808
500102,9520,8792
501127,9504,8776
502150,9504,8768
503172,9492,8752
504195,9496,8756
505216,9476,8732
506237,9476,8728
507257,9468,8728
508289,9592,8716
509308,9460,8664
510327,9448,8664
511344,9432,8956
512360,9432,8692
513375,9436,8680
514390,9428,8664
515406,9420,8672
516420,9408,8676
517434,9408,8660
518448,9408,8660
519460,9400,8660
520473,9400,8656
521486,9400,8660
522509,9508,8904
523522,9400,8660
524531,9352,8652
525544,9396,8652
526556,9392,8648
527568,9400,8660
528580,9400,8660
529593,9400,8656
530606,9392,8652
531618,9396,8668
532632,9400,8664
533645,9412,8664
534659,9416,8680
535673,9412,8680
536687,9416,8672
537715,9544,8664
538731,9420,8680
539746,9424,8688
540761,9424,8684
541776,9428,8684
542792,9428,8688
543808,9436,8692
544826,9440,8700
545842,9440,8704
546859,9448,8708
547876,9440,8704
548892,9440,8704
549910,9448,8712
550929,9448,8716
551948,9464,8700
552966,9456,8716
553984,9456,8660
555003,9468,8688
556025,9476,8680
557046,9476,8740
558067,9480,8740
559089,9496,8756
560112,9492,8764
561136,9504,8752
562159,9508,8768
563182,9496,8768
564206,9508,8764
565230,9504,8760
566253,9504,8756
567277,9512,8756
568301,9508,8752
569325,9500,8748
570349,9504,8740
571371,9496,8740
572394,9496,8740
573416,9488,8732
574439,9488,8740
575460,9484,8740
576481,9484,8744
577502,9484,8740
578536,9612,9000
579558,9488,8740
580580,9484,8740
581600,9480,8740
582622,9476,8748
583644,9488,9012
584665,9488,8760
585686,9488,8760
586709,9516,8772
587734,9508,8768
588758,9524,8788
589784,9528,8800
590810,9540,8812
591838,9548,8828
592882,9712,9136
593917,9620,8920
594956,9652,8964
595999,9700,9008
597046,9740,9088
598096,9772,9128
599150,9800,9184
600205,9824,9236
601263,9852,9292
602324,9876,9352
603389,9924,9416
604473,10068,9748
605543,9972,9540
606621,10016,9604
607701,10028,9660
608784,10056,9704
609867,10076,9768
610954,10092,9816
612041,10108,9848
613130,10124,9868
614218,10108,9888
615306,10108,9888
616395,10120,9896
617484,10120,9908
618569,10088,9888
619656,10088,9880
620740,10080,9860
621824,10068,9844
622905,10044,9808
623984,10032,9784
625064,10028,9752
626142,10016,9732
627240,10156,10016
628318,10028,9740
629397,10016,9732
630476,10028,9748
631558,10040,9760
632639,10044,9780
633720,10056,9808
634820,10220,9812
635905,10084,9836
636993,10108,9868
638082,10124,9912
639174,10156,9956
640272,10184,10012
641375,10224,10080
642482,10264,10144
643591,10292,10208
644725,10432,10532
645838,10324,10268
646951,10324,10296
648069,10368,10340
649181,10316,10316
650304,10420,10436
651426,10412,10412
652562,10536,10564
653738,10756,10948
654888,10660,10700
656042,10716,10732
657209,10868,10772
658417,11280,10848
659686,11880,10864
661013,12464,11032
662388,12952,11128
663830,13608,11280
665342,14320,11452
666948,15240,11576
668608,15808,11564
670288,15992,11584
671980,16112,11592
673677,16180,11608
675377,16192,11596
677078,16204,11588
678783,16260,11568
680491,16268,11580
682202,16316,11604
683914,16312,11592
685624,16296,11576
687330,16240,11568
689040,16296,11564
690749,16284,11556
692458,16284,11576
694170,16312,11608
695880,16300,11676
697594,16336,11772
699332,16568,12268
701022,16100,11940
702566,14620,11856
703931,12844,11540
705166,11540,11388
706380,11004,11340
707592,10948,11312
708795,10868,11232
709989,10896,11128
