,Point,X,Y,Phi
0,0.0,288.68,-101.49,-0.65
1,1.0,293.72,45.92,0.95
2,2.0,56.22,129.49,2.26
3,3.0,-280.19,-98.6,3.15
4,4.0,-193.44,-241.29,4.73
5,5.0,26.04,-154.35,-0.15
6,6.0,324.41,-20.14,-0.25
7,7.0,258.53,155.88,1.42
8,8.0,1.37,124.18,2.75
9,9.0,-118.87,-292.89,3.82
10,10.0,57.15,-376.12,5.29
11,11.0,151.05,-211.91,0.51
12,12.0,-3.1,238.66,1.29
13,13.0,-143.72,189.46,2.89
14,14.0,-105.04,-6.77,4.32
15,15.0,287.37,-128.07,-0.89
16,16.0,272.91,-51.5,0.92
17,17.0,-41.05,211.4,1.77
18,18.0,-231.46,98.81,3.08
19,19.0,-148.7,-55.57,4.68
20,20.0,304.84,-128.92,-0.8
21,21.0,276.22,-64.53,1.09
22,22.0,-102.46,156.71,1.9
23,23.0,-306.36,8.8,3.23
24,24.0,-190.69,-170.43,4.68
25,25.0,204.68,-182.04,-0.58
26,26.0,172.44,-105.68,1.14
27,27.0,-195.19,82.39,2.06
28,28.0,-320.55,-89.57,3.58
29,29.0,-150.74,-220.44,5.11
