,Point,X,Y,Phi
0,0.0,0.76,-0.01,-0.02
1,1.0,-6.51,220.53,1.26
2,2.0,-61.03,164.24,3.17
3,3.0,-55.23,-211.18,3.97
4,4.0,149.78,-271.45,5.45
5,5.0,236.43,-99.56,0.57
6,6.0,77.91,-1.51,2.1
7,7.0,-216.97,-169.45,3.0
8,8.0,-189.69,-321.58,4.5
9,9.0,-99.66,-269.91,0.01
10,10.0,12.37,146.82,0.48
11,11.0,-100.31,187.62,2.19
12,12.0,-240.86,0.39,3.46
13,13.0,-115.13,-184.78,4.72
14,14.0,170.74,-150.26,-0.4
15,15.0,180.39,5.76,1.12
16,16.0,10.79,-18.48,2.69
17,17.0,-195.31,-349.29,3.36
18,18.0,-104.6,-453.31,4.91
19,19.0,15.07,-349.28,0.17
20,20.0,-64.81,-54.4,1.29
21,21.0,-302.76,-23.43,2.57
22,22.0,-344.17,-182.78,4.08
23,23.0,-154.87,-214.7,5.55
24,24.0,86.89,91.26,0.25
25,25.0,-16.63,199.87,1.84
26,26.0,-81.9,104.01,3.53
27,27.0,0.06,-291.29,4.2
28,28.0,35.68,-263.6,6.08
29,29.0,14.49,-3.76,1.2
